iter	Passed	Remaining
412	3605	5125
413	3614	5116
414	3623	5108
415	3633	5101
416	3642	5092
417	3650	5083
418	3658	5072
419	3666	5062
420	3673	5052
421	3681	5042
422	3688	5031
423	3696	5021
424	3704	5012
425	3712	5002
426	3720	4992
427	3728	4982
428	3735	4972
429	3743	4962
430	3751	4952
431	3758	4941
432	3765	4930
433	3773	4921
434	3781	4911
435	3789	4902
436	3797	4892
437	3806	4884
438	3816	4876
439	3824	4867
440	3832	4858
441	3841	4849
442	3850	4841
443	3858	4832
444	3867	4823
445	3876	4815
446	3886	4807
447	3894	4798
448	3904	4792
449	3913	4783
450	3921	4773
451	3931	4766
452	3940	4757
453	3950	4751
454	3960	4744
455	3968	4734
456	3977	4726
457	3986	4717
458	3994	4707
459	4003	4699
460	4011	4690
461	4021	4683
462	4032	4676
463	4045	4672
464	4060	4671
465	4072	4666
466	4083	4660
467	4092	4652
468	4103	4645
469	4114	4639
470	4125	4633
471	4137	4628
472	4145	4619
473	4154	4609
474	4163	4601
475	4171	4591
476	4179	4582
477	4187	4573
478	4197	4565
479	4205	4556
480	4214	4547
481	4224	4540
482	4234	4532
483	4242	4523
484	4251	4514
485	4259	4504
486	4267	4495
487	4276	4486
488	4285	4477
489	4292	4467
490	4300	4457
491	4307	4447
492	4315	4437
493	4322	4427
494	4329	4417
495	4337	4407
496	4344	4397
497	4351	4386
498	4359	4376
499	4366	4366
500	4374	4356
501	4381	4346
502	4389	4336
503	4396	4327
504	4404	4317
505	4412	4307
506	4419	4297
507	4426	4287
508	4433	4277
509	4441	4267
510	4448	4257
511	4455	4247
512	4463	4236
513	4470	4227
514	4478	4217
515	4485	4207
516	4492	4197
517	4501	4188
518	4509	4179
519	4517	4169
520	4524	4159
521	4531	4149
522	4539	4140
523	4546	4130
524	4553	4120
525	4562	4111
526	4570	4101
527	4577	4091
528	4585	4082
529	4594	4073
530	4602	4064
531	4610	4055
532	4619	4047
533	4626	4037
534	4635	4028
535	4643	4019
536	4652	4010
537	4661	4002
538	4669	3993
539	4677	3984
540	4686	3975
541	4695	3967
542	4704	3959
543	4713	3950
544	4721	3941
545	4730	3933
546	4738	3924
547	4746	3915
548	4754	3906
549	4763	3897
550	4772	3888
551	4781	3880
552	4794	3875
553	4814	3875
554	4824	3868
555	4835	3861
556	4847	3855
557	4858	3848
558	4869	3841
559	4881	3835
560	4894	3829
561	4905	3822
562	4915	3815
563	4927	3809
564	4938	3802
565	4951	3796
566	4965	3792
567	4978	3786
568	4992	3781
569	5005	3775
570	5018	3770
571	5031	3764
572	5045	3759
573	5066	3760
574	5088	3761
575	5105	3758
576	5118	3752
577	5133	3747
578	5148	3743
579	5159	3736
580	5170	3728
581	5183	3722
582	5195	3716
583	5208	3710
584	5222	3704
585	5236	3699
586	5251	3694
587	5264	3688
588	5276	3681
589	5288	3674
590	5301	3668
591	5312	3661
592	5321	3652
593	5332	3644
594	5341	3635
595	5351	3627
596	5360	3618
597	5369	3609
598	5380	3602
599	5390	3593
600	5399	3584
601	5409	3576
602	5420	3568
603	5431	3560
604	5443	3553
605	5455	3546
606	5465	3538
607	5477	3531
608	5491	3525
609	5502	3518
610	5514	3511
611	5525	3503
612	5537	3495
613	5547	3487
614	5561	3481
615	5574	3474
616	5587	3468
617	5598	3460
618	5608	3452
619	5619	3443
620	5627	3434
621	5638	3426
622	5647	3417
623	5655	3407
624	5663	3398
625	5672	3388
626	5680	3379
627	5689	3370
628	5697	3360
629	5706	3351
630	5714	3341
631	5722	3332
632	5731	3322
633	5739	3313
634	5748	3304
635	5756	3294
636	5764	3284
637	5772	3275
638	5780	3265
639	5789	3256
640	5798	3247
641	5806	3237
642	5815	3228
643	5825	3220
644	5833	3210
645	5842	3201
646	5850	3192
647	5858	3182
648	5866	3172
649	5873	3162
650	5880	3152
651	5888	3142
652	5897	3133
653	5904	3123
654	5911	3113
655	5919	3104
656	5927	3094
657	5935	3084
658	5943	3075
659	5951	3065
660	5959	3056
661	5968	3047
662	5977	3038
663	5988	3030
664	6002	3023
665	6013	3015
666	6025	3008
667	6034	2998
668	6043	2989
669	6051	2980
670	6062	2972
671	6070	2962
672	6079	2953
673	6087	2944
674	6095	2935
675	6103	2925
676	6111	2915
677	6119	2906
678	6127	2896
679	6134	2886
680	6141	2876
681	6149	2867
682	6158	2858
683	6166	2848
684	6173	2838
685	6180	2828
686	6188	2819
687	6196	2809
688	6203	2800
689	6211	2790
690	6218	2780
691	6226	2771
692	6234	2761
693	6241	2752
694	6250	2742
695	6258	2733
696	6266	2724
697	6273	2714
698	6281	2704
699	6288	2695
700	6296	2685
701	6303	2676
702	6311	2666
703	6318	2656
704	6326	2647
705	6335	2638
706	6343	2628
707	6350	2619
708	6357	2609
709	6365	2599
710	6373	2590
711	6380	2580
712	6389	2571
713	6396	2562
714	6403	2552
715	6411	2543
716	6420	2533
717	6427	2524
718	6435	2515
719	6442	2505
720	6450	2496
721	6457	2486
722	6465	2477
723	6472	2467
724	6479	2457
725	6487	2448
726	6495	2439
727	6503	2429
728	6511	2420
729	6518	2411
730	6526	2401
731	6534	2392
732	6543	2383
733	6554	2375
734	6567	2368
735	6578	2359
736	6588	2351
737	6596	2341
738	6605	2333
739	6616	2324
740	6625	2315
741	6636	2307
742	6644	2298
743	6653	2289
744	6663	2280
745	6672	2271
746	6680	2262
747	6690	2253
748	6698	2244
749	6706	2235
750	6714	2226
751	6723	2217
752	6730	2207
753	6738	2198
754	6746	2189
755	6753	2179
