iter	Logloss
0	0.6581339759
1	0.6254088351
2	0.5958018661
3	0.567707621
4	0.5440876724
5	0.5226020408
6	0.504648802
7	0.4871829521
8	0.4728756722
9	0.4582887433
10	0.4470924611
11	0.4367302281
12	0.4281125604
13	0.4188751436
14	0.4121052177
15	0.4049012722
16	0.3979345584
17	0.3923256184
18	0.3876061296
19	0.3826143345
20	0.3782404729
21	0.3742091225
22	0.3706730577
23	0.3675621119
24	0.3648048705
25	0.3623242686
26	0.3599435266
27	0.3578004104
28	0.3554634435
29	0.3541730276
30	0.3521962847
31	0.3503782023
32	0.3488236871
33	0.3471795077
34	0.3456950343
35	0.3449742884
36	0.343610889
37	0.3426040907
38	0.3411891254
39	0.3400689177
40	0.3391010994
41	0.3381952256
42	0.3372293797
43	0.3363928226
44	0.3356648051
45	0.3348517786
46	0.3341254894
47	0.3333828148
48	0.332737394
49	0.3321807258
50	0.3315120647
51	0.3308322806
52	0.3301809332
53	0.3295785748
54	0.3291378254
55	0.3286294045
56	0.3281850293
57	0.3275786414
58	0.3271619915
59	0.3266170181
60	0.3262747779
61	0.3257391147
62	0.3253718301
63	0.3245413437
64	0.323956004
65	0.3234229034
66	0.3229959288
67	0.3224678605
68	0.3220716856
69	0.3216538661
70	0.3212346033
71	0.3207141304
72	0.3204006017
73	0.3200108039
74	0.319623115
75	0.3193086397
76	0.3188431936
77	0.3185837643
78	0.3182696346
79	0.3177954062
80	0.3175162309
81	0.3172242317
82	0.3169384901
83	0.3166767327
84	0.3161993092
85	0.3158862443
86	0.3156055788
87	0.3153840975
88	0.3151144426
89	0.3145058357
90	0.3142374302
91	0.3139548726
92	0.3136075346
93	0.3133355451
94	0.3131633951
95	0.3128689372
96	0.3126102671
97	0.3123530483
98	0.3121888869
99	0.3120046791
100	0.3117106882
101	0.3114305408
102	0.3112006383
103	0.3110153725
104	0.3107768236
105	0.3102109517
106	0.3100097125
107	0.3097043429
108	0.3095269118
109	0.3092343924
110	0.3089751834
111	0.3086201788
112	0.3083940139
113	0.308276949
114	0.3081101771
115	0.3079130134
116	0.3077084216
117	0.3074920245
118	0.3073144455
119	0.3071623225
120	0.3069747391
121	0.3067582781
122	0.3066237507
123	0.3064506513
124	0.3063430446
125	0.3062171776
126	0.306067607
127	0.30588035
128	0.3057783869
129	0.3056313343
130	0.3054672212
131	0.3051969477
132	0.3050379744
133	0.3048814675
134	0.3046529947
135	0.304265244
136	0.3041185348
137	0.3039258062
138	0.303788487
139	0.3035970166
140	0.3031999287
141	0.3030720834
142	0.3029193586
143	0.302768365
144	0.3026742641
145	0.3025585499
146	0.3024226999
147	0.302272975
148	0.3021631111
149	0.3020201768
150	0.3019117349
151	0.3018462484
152	0.3017241073
153	0.3015994575
154	0.3014988706
155	0.3013530932
156	0.3009734524
157	0.3005873871
158	0.3005148724
159	0.3004175256
160	0.3003134024
161	0.3001527463
162	0.3000419266
163	0.299969107
164	0.2998997125
165	0.2998116105
166	0.2997610287
167	0.2996424827
168	0.2995631996
169	0.2994016154
170	0.2993078769
171	0.2992258437
172	0.2991354045
173	0.2990242726
174	0.2988929664
175	0.2987478712
176	0.2986448034
177	0.2984693829
178	0.2983078161
179	0.2982166755
180	0.2981277229
181	0.2980180514
182	0.297910568
